评论ID,提及品牌,平台,评论内容,点赞数,评论数,转发数,情感倾向,发布时间
CM00996,品牌A,微博,感觉最近质量不如以前了，有点失望,38,9,0,负面,2023-03-06
CM00997,竞品B,微博,价格有点贵，但是一分钱一分货吧,42,8,5,中性,2023-11-10
CM00998,竞品B,抖音,价格有点贵，但是一分钱一分货吧,59,10,3,中性,2023-08-23
CM00999,竞品B,微博,这个品牌的产品真的很好用，支持了好多年了,39,9,6,正面,2023-08-06
CM01000,竞品B,B站,物流很快，包装也很好，推荐购买,47,8,7,正面,2023-12-22
CM01001,竞品C,微博,用了过敏，不知道是不是正品,40,16,2,负面,2023-07-18
CM01002,竞品B,抖音,这个品牌的产品真的很好用，支持了好多年了,45,8,6,正面,2023-04-17
CM01003,竞品B,抖音,客服态度太差了，再也不会买了,64,11,4,负面,2023-09-14
CM01004,品牌A,抖音,什么时候出新品啊，等好久了,55,10,8,正面,2023-11-10
CM01005,竞品B,微博,什么时候出新品啊，等好久了,50,8,5,正面,2023-11-30
CM01006,竞品C,B站,价格有点贵，但是一分钱一分货吧,54,6,5,中性,2023-04-05
CM01007,竞品B,抖音,客服态度太差了，再也不会买了,47,13,2,负面,2023-03-10
CM01008,竞品B,微博,国货之光，必须支持,42,9,5,正面,2023-07-11
CM01009,竞品C,小红书,性价比很高，比XX品牌好多了,53,18,6,正面,2023-04-14
CM01010,竞品B,抖音,用了过敏，不知道是不是正品,54,6,5,负面,2023-07-24
CM01011,竞品B,微博,国货之光，必须支持,62,10,3,正面,2023-03-23
CM01012,品牌A,B站,这个品牌的产品真的很好用，支持了好多年了,54,9,4,正面,2023-10-19
CM01013,竞品C,微博,颜值很高，就是有点不耐用,35,6,6,中性,2023-06-07
CM01014,竞品C,B站,什么时候出新品啊，等好久了,55,10,2,正面,2023-09-04
CM01015,品牌A,小红书,性价比很高，比XX品牌好多了,44,10,5,正面,2023-08-27
CM01016,竞品C,小红书,感觉最近质量不如以前了，有点失望,61,12,5,负面,2023-06-10
CM01017,竞品B,微博,什么时候出新品啊，等好久了,49,9,7,正面,2023-01-15
CM01018,竞品B,微博,这个品牌的产品真的很好用，支持了好多年了,48,7,7,正面,2023-09-28
CM01019,竞品B,抖音,颜值很高，就是有点不耐用,40,7,7,中性,2023-10-15
CM01020,竞品C,微博,物流很快，包装也很好，推荐购买,54,13,2,正面,2023-01-24
CM01021,竞品B,抖音,这个品牌的产品真的很好用，支持了好多年了,61,10,7,正面,2023-07-30
CM01022,竞品B,抖音,性价比很高，比XX品牌好多了,46,14,6,正面,2023-09-26
CM01023,竞品B,小红书,性价比很高，比XX品牌好多了,45,12,8,正面,2023-05-30
CM01024,竞品C,微博,什么时候出新品啊，等好久了,48,8,7,正面,2023-06-20
CM01025,竞品C,微博,物流很快，包装也很好，推荐购买,45,8,8,正面,2023-09-23
CM01026,竞品C,小红书,国货之光，必须支持,49,11,4,正面,2023-04-23
CM01027,竞品C,小红书,价格有点贵，但是一分钱一分货吧,39,13,3,中性,2023-05-09
CM01028,竞品C,B站,客服态度太差了，再也不会买了,56,7,4,负面,2023-08-22
CM01029,竞品B,小红书,价格有点贵，但是一分钱一分货吧,49,13,7,中性,2023-12-11
CM01030,竞品B,B站,性价比很高，比XX品牌好多了,55,7,7,正面,2023-06-23
CM01031,竞品C,B站,颜值很高，就是有点不耐用,59,9,4,中性,2023-08-30
CM01032,竞品C,B站,什么时候出新品啊，等好久了,52,9,1,正面,2023-03-25
CM01033,品牌A,小红书,国货之光，必须支持,57,7,8,正面,2023-06-26
CM01034,品牌A,小红书,用了过敏，不知道是不是正品,49,10,4,负面,2023-10-12
CM01035,品牌A,小红书,什么时候出新品啊，等好久了,36,9,2,正面,2023-05-28
CM01036,竞品B,微博,感觉最近质量不如以前了，有点失望,39,6,7,负面,2023-01-27
CM01037,竞品B,微博,物流很快，包装也很好，推荐购买,43,15,2,正面,2023-01-06
CM01038,竞品B,微博,颜值很高，就是有点不耐用,50,18,5,中性,2023-08-30
CM01039,品牌A,微博,感觉最近质量不如以前了，有点失望,48,12,6,负面,2023-12-26
CM01040,竞品C,小红书,颜值很高，就是有点不耐用,68,9,9,中性,2023-10-03
CM01041,竞品C,抖音,这个品牌的产品真的很好用，支持了好多年了,33,9,7,正面,2023-10-01
CM01042,竞品B,B站,国货之光，必须支持,59,11,7,正面,2023-03-30
CM01043,品牌A,B站,感觉最近质量不如以前了，有点失望,55,14,7,负面,2023-03-26
CM01044,品牌A,小红书,这个品牌的产品真的很好用，支持了好多年了,46,14,9,正面,2023-03-30
CM01045,竞品C,小红书,客服态度太差了，再也不会买了,48,10,2,负面,2023-05-19
CM01046,竞品C,微博,颜值很高，就是有点不耐用,43,6,8,中性,2023-08-15
CM01047,竞品B,抖音,国货之光，必须支持,53,7,2,正面,2023-09-05
CM01048,竞品B,微博,感觉最近质量不如以前了，有点失望,44,14,6,负面,2023-03-13
CM01049,品牌A,微博,物流很快，包装也很好，推荐购买,44,11,9,正面,2023-08-25
CM01050,竞品C,B站,国货之光，必须支持,54,5,2,正面,2023-07-14
CM01051,竞品B,B站,性价比很高，比XX品牌好多了,48,11,6,正面,2023-12-09
CM01052,竞品C,小红书,价格有点贵，但是一分钱一分货吧,44,9,3,中性,2023-10-23
CM01053,竞品B,抖音,这个品牌的产品真的很好用，支持了好多年了,51,7,5,正面,2023-07-29
CM01054,竞品C,小红书,国货之光，必须支持,43,3,5,正面,2023-04-15
CM01055,品牌A,抖音,感觉最近质量不如以前了，有点失望,46,14,1,负面,2023-07-01
CM01056,品牌A,B站,价格有点贵，但是一分钱一分货吧,50,11,3,中性,2023-05-16
CM01057,竞品B,小红书,国货之光，必须支持,41,13,3,正面,2023-01-16
CM01058,品牌A,B站,国货之光，必须支持,51,7,5,正面,2023-05-10
CM01059,竞品C,小红书,感觉最近质量不如以前了，有点失望,39,10,7,负面,2023-05-12
CM01060,品牌A,微博,性价比很高，比XX品牌好多了,41,15,5,正面,2023-07-17
CM01061,竞品C,抖音,什么时候出新品啊，等好久了,52,13,5,正面,2023-04-13
CM01062,竞品C,抖音,价格有点贵，但是一分钱一分货吧,53,9,5,中性,2023-02-09
CM01063,竞品B,抖音,感觉最近质量不如以前了，有点失望,44,8,6,负面,2023-09-20
CM01064,品牌A,小红书,什么时候出新品啊，等好久了,62,9,7,正面,2023-11-18
CM01065,竞品B,B站,性价比很高，比XX品牌好多了,42,8,5,正面,2023-03-14
CM01066,竞品C,小红书,颜值很高，就是有点不耐用,42,6,4,中性,2023-05-15
CM01067,品牌A,微博,性价比很高，比XX品牌好多了,53,12,4,正面,2023-06-05
CM01068,品牌A,B站,国货之光，必须支持,44,9,4,正面,2023-11-07
CM01069,品牌A,B站,性价比很高，比XX品牌好多了,46,9,16,正面,2023-09-20
CM01070,品牌A,小红书,物流很快，包装也很好，推荐购买,44,16,1,正面,2023-03-31
CM01071,竞品B,小红书,国货之光，必须支持,48,6,9,正面,2023-01-24
CM01072,品牌A,B站,感觉最近质量不如以前了，有点失望,54,9,5,负面,2023-08-11
CM01073,竞品C,B站,什么时候出新品啊，等好久了,60,7,5,正面,2023-08-31
CM01074,品牌A,微博,感觉最近质量不如以前了，有点失望,54,12,6,负面,2023-08-04
CM01075,竞品C,微博,性价比很高，比XX品牌好多了,45,12,8,正面,2023-09-30
CM01076,竞品B,抖音,国货之光，必须支持,47,9,6,正面,2023-07-28
CM01077,竞品B,微博,价格有点贵，但是一分钱一分货吧,52,15,3,中性,2023-12-04
CM01078,竞品B,B站,什么时候出新品啊，等好久了,40,11,3,正面,2023-03-27
CM01079,竞品B,微博,物流很快，包装也很好，推荐购买,54,7,8,正面,2023-04-27
CM01080,竞品C,B站,感觉最近质量不如以前了，有点失望,53,10,4,负面,2023-07-23
CM01081,品牌A,小红书,物流很快，包装也很好，推荐购买,43,4,3,正面,2023-08-18
CM01082,品牌A,微博,这个品牌的产品真的很好用，支持了好多年了,49,8,7,正面,2023-02-18
CM01083,品牌A,小红书,用了过敏，不知道是不是正品,43,9,4,负面,2023-03-18
CM01084,竞品B,小红书,这个品牌的产品真的很好用，支持了好多年了,51,12,7,正面,2023-11-07
CM01085,竞品C,B站,价格有点贵，但是一分钱一分货吧,57,14,4,中性,2023-03-14
CM01086,竞品C,B站,颜值很高，就是有点不耐用,60,6,5,中性,2023-02-02
CM01087,竞品B,B站,用了过敏，不知道是不是正品,48,9,4,负面,2023-10-31
CM01088,品牌A,小红书,性价比很高，比XX品牌好多了,61,9,13,正面,2023-09-24
CM01089,竞品B,抖音,性价比很高，比XX品牌好多了,40,6,8,正面,2023-01-16
CM01090,竞品C,抖音,感觉最近质量不如以前了，有点失望,59,12,6,负面,2023-10-17
CM01091,竞品B,小红书,国货之光，必须支持,49,15,6,正面,2023-04-04
CM01092,品牌A,抖音,什么时候出新品啊，等好久了,66,9,3,正面,2023-09-19
CM01093,竞品B,小红书,性价比很高，比XX品牌好多了,50,13,0,正面,2023-04-10
CM01094,品牌A,B站,什么时候出新品啊，等好久了,50,6,7,正面,2023-11-12
CM01095,竞品C,小红书,什么时候出新品啊，等好久了,45,9,3,正面,2023-05-31
CM01096,竞品B,微博,感觉最近质量不如以前了，有点失望,58,13,6,负面,2023-03-25
CM01097,竞品B,小红书,这个品牌的产品真的很好用，支持了好多年了,48,8,6,正面,2023-06-29
CM01098,竞品B,抖音,这个品牌的产品真的很好用，支持了好多年了,48,13,6,正面,2023-03-30
CM01099,品牌A,B站,感觉最近质量不如以前了，有点失望,54,9,7,负面,2023-05-19
CM01100,竞品B,B站,客服态度太差了，再也不会买了,50,11,5,负面,2023-06-17
CM01101,竞品B,抖音,颜值很高，就是有点不耐用,50,14,9,中性,2023-02-16
CM01102,竞品B,小红书,什么时候出新品啊，等好久了,54,7,6,正面,2023-10-29
CM01103,竞品B,抖音,国货之光，必须支持,43,14,8,正面,2023-03-14
CM01104,竞品C,微博,价格有点贵，但是一分钱一分货吧,40,9,3,中性,2023-10-23
CM01105,品牌A,B站,客服态度太差了，再也不会买了,66,15,4,负面,2023-01-07
CM01106,竞品B,小红书,价格有点贵，但是一分钱一分货吧,34,7,1,中性,2023-10-10
CM01107,品牌A,抖音,性价比很高，比XX品牌好多了,54,14,4,正面,2023-10-18
CM01108,品牌A,小红书,客服态度太差了，再也不会买了,59,10,10,负面,2023-03-01
CM01109,竞品C,微博,客服态度太差了，再也不会买了,45,8,3,负面,2023-07-08
CM01110,竞品B,抖音,用了过敏，不知道是不是正品,50,12,4,负面,2023-02-28
CM01111,品牌A,小红书,这个品牌的产品真的很好用，支持了好多年了,58,11,5,正面,2023-01-09
CM01112,竞品B,抖音,感觉最近质量不如以前了，有点失望,35,8,4,负面,2023-02-25
CM01113,竞品C,微博,感觉最近质量不如以前了，有点失望,54,9,5,负面,2023-01-11
CM01114,品牌A,小红书,国货之光，必须支持,55,9,8,正面,2023-11-02
CM01115,竞品C,小红书,国货之光，必须支持,46,11,8,正面,2023-03-27
CM01116,品牌A,小红书,颜值很高，就是有点不耐用,46,5,6,中性,2023-06-16
CM01117,竞品C,小红书,客服态度太差了，再也不会买了,45,7,4,负面,2023-06-02
CM01118,品牌A,微博,客服态度太差了，再也不会买了,50,11,5,负面,2023-12-12
CM01119,品牌A,微博,性价比很高，比XX品牌好多了,37,5,8,正面,2023-03-09
CM01120,竞品C,小红书,性价比很高，比XX品牌好多了,46,8,4,正面,2023-11-26
CM01121,品牌A,抖音,用了过敏，不知道是不是正品,40,9,6,负面,2023-11-14
CM01122,竞品C,微博,感觉最近质量不如以前了，有点失望,48,11,7,负面,2023-01-10
CM01123,品牌A,B站,感觉最近质量不如以前了，有点失望,44,4,7,负面,2023-05-23
CM01124,竞品C,微博,性价比很高，比XX品牌好多了,47,10,9,正面,2023-05-09
CM01125,竞品B,抖音,感觉最近质量不如以前了，有点失望,49,6,2,负面,2023-07-17
CM01126,品牌A,小红书,颜值很高，就是有点不耐用,45,6,9,中性,2023-12-16
CM01127,竞品C,抖音,颜值很高，就是有点不耐用,70,7,7,中性,2023-04-19
CM01128,品牌A,抖音,国货之光，必须支持,55,15,7,正面,2023-10-07
CM01129,竞品B,抖音,用了过敏，不知道是不是正品,55,10,6,负面,2023-12-05
CM01130,品牌A,微博,价格有点贵，但是一分钱一分货吧,40,3,5,中性,2023-12-22
CM01131,竞品C,微博,用了过敏，不知道是不是正品,68,9,2,负面,2023-11-20
CM01132,竞品C,微博,国货之光，必须支持,61,8,7,正面,2023-01-14
CM01133,竞品B,抖音,这个品牌的产品真的很好用，支持了好多年了,70,9,6,正面,2023-01-27
CM01134,品牌A,微博,什么时候出新品啊，等好久了,46,7,4,正面,2023-07-17
CM01135,品牌A,小红书,感觉最近质量不如以前了，有点失望,49,10,4,负面,2023-01-19
CM01136,竞品C,微博,这个品牌的产品真的很好用，支持了好多年了,57,16,3,正面,2023-01-05
CM01137,竞品B,小红书,物流很快，包装也很好，推荐购买,53,21,3,正面,2023-06-22
CM01138,竞品C,微博,物流很快，包装也很好，推荐购买,46,12,5,正面,2023-06-05
CM01139,竞品C,小红书,用了过敏，不知道是不是正品,56,6,8,负面,2023-10-03
CM01140,品牌A,小红书,价格有点贵，但是一分钱一分货吧,54,4,4,中性,2023-06-18
CM01141,竞品C,抖音,用了过敏，不知道是不是正品,49,7,4,负面,2023-07-14
CM01142,竞品C,小红书,物流很快，包装也很好，推荐购买,61,11,6,正面,2023-06-08
CM01143,品牌A,B站,用了过敏，不知道是不是正品,59,9,4,负面,2023-09-18
CM01144,竞品C,抖音,物流很快，包装也很好，推荐购买,37,16,6,正面,2023-09-13
CM01145,竞品C,小红书,感觉最近质量不如以前了，有点失望,53,14,4,负面,2023-12-08
CM01146,品牌A,B站,这个品牌的产品真的很好用，支持了好多年了,46,9,2,正面,2023-04-28
CM01147,竞品C,小红书,这个品牌的产品真的很好用，支持了好多年了,49,14,7,正面,2023-03-30
CM01148,竞品C,抖音,国货之光，必须支持,45,8,5,正面,2023-04-06
CM01149,品牌A,微博,什么时候出新品啊，等好久了,46,1,4,正面,2023-02-23
CM01150,竞品B,微博,这个品牌的产品真的很好用，支持了好多年了,53,9,4,正面,2023-06-06
CM01151,竞品B,微博,物流很快，包装也很好，推荐购买,40,9,7,正面,2023-10-17
CM01152,竞品B,小红书,性价比很高，比XX品牌好多了,53,6,4,正面,2023-10-14
CM01153,竞品B,微博,用了过敏，不知道是不是正品,44,7,7,负面,2023-02-03
CM01154,竞品C,微博,用了过敏，不知道是不是正品,44,11,4,负面,2023-01-05
CM01155,竞品B,B站,国货之光，必须支持,54,4,7,正面,2023-12-30
CM01156,竞品C,小红书,颜值很高，就是有点不耐用,36,4,9,中性,2023-07-18
CM01157,竞品B,小红书,物流很快，包装也很好，推荐购买,45,13,6,正面,2023-06-08
CM01158,竞品B,小红书,性价比很高，比XX品牌好多了,62,6,4,正面,2023-05-03
CM01159,竞品C,微博,国货之光，必须支持,39,7,6,正面,2023-01-27
CM01160,竞品B,小红书,颜值很高，就是有点不耐用,47,11,4,中性,2023-05-20
CM01161,竞品C,B站,客服态度太差了，再也不会买了,44,12,4,负面,2023-09-28
CM01162,竞品C,B站,国货之光，必须支持,57,7,9,正面,2024-01-01
CM01163,品牌A,B站,用了过敏，不知道是不是正品,52,15,4,负面,2023-08-13
CM01164,竞品C,小红书,颜值很高，就是有点不耐用,58,18,5,中性,2023-11-21
CM01165,品牌A,微博,感觉最近质量不如以前了，有点失望,49,7,6,负面,2023-06-05
CM01166,竞品C,小红书,性价比很高，比XX品牌好多了,55,13,3,正面,2023-06-03
CM01167,竞品C,B站,颜值很高，就是有点不耐用,49,12,5,中性,2023-10-19
CM01168,竞品B,B站,颜值很高，就是有点不耐用,38,17,6,中性,2023-05-03
CM01169,竞品C,抖音,性价比很高，比XX品牌好多了,44,11,6,正面,2023-02-19
CM01170,竞品C,小红书,国货之光，必须支持,57,15,4,正面,2023-06-14
CM01171,竞品C,微博,感觉最近质量不如以前了，有点失望,56,11,4,负面,2023-04-17
CM01172,竞品B,小红书,物流很快，包装也很好，推荐购买,52,14,6,正面,2023-12-24
CM01173,品牌A,微博,性价比很高，比XX品牌好多了,71,13,10,正面,2023-03-21
CM01174,竞品B,微博,物流很快，包装也很好，推荐购买,54,14,2,正面,2023-12-11
CM01175,竞品C,小红书,这个品牌的产品真的很好用，支持了好多年了,51,15,5,正面,2023-10-28
CM01176,品牌A,B站,物流很快，包装也很好，推荐购买,52,8,6,正面,2023-09-28
CM01177,品牌A,小红书,性价比很高，比XX品牌好多了,35,10,4,正面,2023-07-24
CM01178,品牌A,小红书,性价比很高，比XX品牌好多了,54,7,4,正面,2023-07-10
CM01179,品牌A,B站,用了过敏，不知道是不是正品,46,11,7,负面,2023-12-30
CM01180,竞品B,小红书,价格有点贵，但是一分钱一分货吧,37,15,3,中性,2023-01-29
CM01181,品牌A,微博,性价比很高，比XX品牌好多了,47,11,5,正面,2023-10-27
CM01182,竞品C,小红书,物流很快，包装也很好，推荐购买,42,16,8,正面,2023-06-24
CM01183,竞品B,B站,物流很快，包装也很好，推荐购买,45,7,3,正面,2023-09-22
CM01184,竞品B,B站,颜值很高，就是有点不耐用,45,8,8,中性,2023-03-08
CM01185,品牌A,B站,性价比很高，比XX品牌好多了,63,13,5,正面,2023-03-14
CM01186,竞品C,抖音,物流很快，包装也很好，推荐购买,50,9,5,正面,2023-07-01
CM01187,竞品C,小红书,价格有点贵，但是一分钱一分货吧,54,16,2,中性,2023-10-21
CM01188,竞品C,B站,这个品牌的产品真的很好用，支持了好多年了,41,8,7,正面,2023-02-07
CM01189,品牌A,抖音,用了过敏，不知道是不是正品,53,15,4,负面,2024-01-01
CM01190,竞品C,小红书,国货之光，必须支持,46,8,2,正面,2023-07-23
CM01191,品牌A,小红书,颜值很高，就是有点不耐用,59,8,4,中性,2023-07-22
CM01192,品牌A,小红书,客服态度太差了，再也不会买了,63,9,6,负面,2023-12-11
CM01193,竞品B,抖音,这个品牌的产品真的很好用，支持了好多年了,55,15,4,正面,2023-09-29
CM01194,竞品C,小红书,客服态度太差了，再也不会买了,52,10,7,负面,2023-06-13
CM01195,品牌A,B站,国货之光，必须支持,32,9,8,正面,2023-01-06
CM01196,竞品B,微博,感觉最近质量不如以前了，有点失望,42,12,3,负面,2023-11-01
CM01197,品牌A,B站,什么时候出新品啊，等好久了,46,7,5,正面,2023-06-01
CM01198,竞品C,B站,性价比很高，比XX品牌好多了,56,13,6,正面,2023-03-30
CM01199,竞品C,抖音,什么时候出新品啊，等好久了,49,7,5,正面,2023-10-07
CM01200,品牌A,抖音,这个品牌的产品真的很好用，支持了好多年了,43,13,7,正面,2023-03-08
CM01201,品牌A,小红书,性价比很高，比XX品牌好多了,64,9,8,正面,2023-12-31
CM01202,品牌A,B站,颜值很高，就是有点不耐用,55,11,7,中性,2023-03-16
CM01203,竞品B,小红书,什么时候出新品啊，等好久了,48,7,7,正面,2023-09-03
CM01204,品牌A,B站,用了过敏，不知道是不是正品,33,12,5,负面,2023-12-22
CM01205,竞品C,小红书,客服态度太差了，再也不会买了,42,7,7,负面,2023-09-11
CM01206,竞品C,抖音,物流很快，包装也很好，推荐购买,58,12,3,正面,2023-09-08
CM01207,品牌A,微博,颜值很高，就是有点不耐用,47,5,4,中性,2023-05-11
CM01208,品牌A,抖音,价格有点贵，但是一分钱一分货吧,53,14,6,中性,2023-03-28
CM01209,竞品C,抖音,颜值很高，就是有点不耐用,66,13,3,中性,2023-08-26
CM01210,竞品C,抖音,什么时候出新品啊，等好久了,50,11,2,正面,2023-02-22
CM01211,品牌A,小红书,物流很快，包装也很好，推荐购买,46,12,3,正面,2023-02-02
CM01212,品牌A,抖音,价格有点贵，但是一分钱一分货吧,57,7,3,中性,2023-07-10
CM01213,品牌A,抖音,感觉最近质量不如以前了，有点失望,52,12,7,负面,2023-02-12
CM01214,竞品B,微博,物流很快，包装也很好，推荐购买,60,8,3,正面,2023-04-30
CM01215,品牌A,微博,这个品牌的产品真的很好用，支持了好多年了,41,10,3,正面,2023-06-29
CM01216,品牌A,B站,什么时候出新品啊，等好久了,57,14,2,正面,2023-04-28
CM01217,竞品C,抖音,价格有点贵，但是一分钱一分货吧,45,7,3,中性,2023-01-05
CM01218,品牌A,小红书,客服态度太差了，再也不会买了,41,10,1,负面,2023-11-19
CM01219,竞品C,B站,颜值很高，就是有点不耐用,42,4,0,中性,2023-09-14
CM01220,竞品B,抖音,国货之光，必须支持,54,13,1,正面,2023-11-11
CM01221,竞品C,抖音,价格有点贵，但是一分钱一分货吧,59,9,1,中性,2023-10-05
CM01222,竞品B,小红书,价格有点贵，但是一分钱一分货吧,57,13,6,中性,2023-01-23
CM01223,竞品C,小红书,用了过敏，不知道是不是正品,47,8,5,负面,2023-01-10
CM01224,竞品B,微博,这个品牌的产品真的很好用，支持了好多年了,46,10,5,正面,2023-06-04
CM01225,竞品C,小红书,价格有点贵，但是一分钱一分货吧,56,12,9,中性,2023-04-05
CM01226,竞品B,B站,感觉最近质量不如以前了，有点失望,39,12,9,负面,2023-09-07
CM01227,竞品B,小红书,这个品牌的产品真的很好用，支持了好多年了,46,9,6,正面,2023-11-02
CM01228,品牌A,小红书,用了过敏，不知道是不是正品,41,7,2,负面,2023-11-12
CM01229,竞品C,B站,用了过敏，不知道是不是正品,40,12,4,负面,2023-03-02
CM01230,竞品C,小红书,客服态度太差了，再也不会买了,45,7,9,负面,2023-11-20
CM01231,竞品B,小红书,颜值很高，就是有点不耐用,49,15,4,中性,2023-11-16
CM01232,竞品C,小红书,什么时候出新品啊，等好久了,52,9,1,正面,2023-09-04
CM01233,竞品B,微博,这个品牌的产品真的很好用，支持了好多年了,51,10,2,正面,2023-08-14
CM01234,竞品C,小红书,国货之光，必须支持,53,13,2,正面,2023-01-15
CM01235,竞品B,小红书,客服态度太差了，再也不会买了,47,9,5,负面,2023-11-04
CM01236,竞品B,B站,性价比很高，比XX品牌好多了,44,9,7,正面,2023-03-03
CM01237,竞品C,抖音,价格有点贵，但是一分钱一分货吧,47,12,5,中性,2023-07-20
CM01238,品牌A,小红书,价格有点贵，但是一分钱一分货吧,53,10,3,中性,2023-06-30
CM01239,品牌A,微博,国货之光，必须支持,50,8,4,正面,2023-05-02
CM01240,竞品B,微博,物流很快，包装也很好，推荐购买,53,14,6,正面,2023-11-29
CM01241,竞品B,小红书,颜值很高，就是有点不耐用,50,11,7,中性,2023-01-24
CM01242,竞品B,微博,客服态度太差了，再也不会买了,47,7,4,负面,2023-03-11
CM01243,品牌A,微博,物流很快，包装也很好，推荐购买,55,12,6,正面,2023-01-06
CM01244,品牌A,B站,感觉最近质量不如以前了，有点失望,42,5,5,负面,2023-10-06
CM01245,竞品B,B站,感觉最近质量不如以前了，有点失望,45,13,8,负面,2023-06-24
CM01246,竞品C,B站,客服态度太差了，再也不会买了,44,13,3,负面,2023-08-23
CM01247,品牌A,B站,性价比很高，比XX品牌好多了,44,9,3,正面,2023-04-09
CM01248,品牌A,小红书,国货之光，必须支持,37,9,8,正面,2023-09-05
CM01249,品牌A,微博,用了过敏，不知道是不是正品,51,11,4,负面,2023-04-06
CM01250,竞品B,微博,性价比很高，比XX品牌好多了,39,10,6,正面,2023-02-03
CM01251,品牌A,抖音,颜值很高，就是有点不耐用,55,6,3,中性,2023-03-10
CM01252,竞品B,抖音,客服态度太差了，再也不会买了,53,8,5,负面,2023-05-15
CM01253,品牌A,小红书,客服态度太差了，再也不会买了,42,10,5,负面,2023-03-21
CM01254,竞品B,B站,这个品牌的产品真的很好用，支持了好多年了,55,12,7,正面,2023-12-05
CM01255,竞品B,B站,性价比很高，比XX品牌好多了,47,8,7,正面,2023-12-04
CM01256,品牌A,B站,颜值很高，就是有点不耐用,48,11,5,中性,2023-03-02
CM01257,竞品B,B站,用了过敏，不知道是不是正品,54,7,3,负面,2023-05-28
CM01258,竞品C,小红书,什么时候出新品啊，等好久了,46,11,6,正面,2023-10-22
CM01259,竞品C,微博,物流很快，包装也很好，推荐购买,43,14,6,正面,2023-11-29
CM01260,竞品B,B站,客服态度太差了，再也不会买了,53,12,4,负面,2023-12-06
CM01261,品牌A,B站,性价比很高，比XX品牌好多了,52,11,1,正面,2023-04-18
CM01262,品牌A,抖音,客服态度太差了，再也不会买了,52,17,3,负面,2023-01-18
CM01263,竞品B,B站,什么时候出新品啊，等好久了,45,12,6,正面,2023-04-30
CM01264,竞品C,小红书,感觉最近质量不如以前了，有点失望,46,10,8,负面,2023-06-15
CM01265,竞品B,微博,性价比很高，比XX品牌好多了,52,5,8,正面,2023-12-30
CM01266,竞品B,微博,国货之光，必须支持,57,13,7,正面,2023-06-17
CM01267,竞品C,微博,性价比很高，比XX品牌好多了,48,13,5,正面,2023-10-19
CM01268,竞品C,抖音,国货之光，必须支持,41,6,5,正面,2023-09-08
CM01269,品牌A,B站,这个品牌的产品真的很好用，支持了好多年了,36,8,5,正面,2023-06-01
CM01270,竞品C,微博,国货之光，必须支持,53,10,5,正面,2023-12-02
CM01271,品牌A,微博,用了过敏，不知道是不是正品,55,10,3,负面,2023-04-10
CM01272,品牌A,微博,颜值很高，就是有点不耐用,51,16,5,中性,2023-11-03
CM01273,品牌A,B站,性价比很高，比XX品牌好多了,52,6,4,正面,2023-11-24
CM01274,竞品C,B站,性价比很高，比XX品牌好多了,58,6,4,正面,2023-10-03
CM01275,竞品B,抖音,这个品牌的产品真的很好用，支持了好多年了,56,8,2,正面,2023-03-05
CM01276,竞品B,微博,什么时候出新品啊，等好久了,36,12,3,正面,2023-07-24
CM01277,竞品C,B站,什么时候出新品啊，等好久了,60,11,3,正面,2023-11-02
CM01278,竞品C,B站,这个品牌的产品真的很好用，支持了好多年了,57,9,4,正面,2023-08-06
CM01279,品牌A,微博,性价比很高，比XX品牌好多了,51,11,7,正面,2023-12-29
CM01280,品牌A,B站,物流很快，包装也很好，推荐购买,45,10,7,正面,2023-09-04
CM01281,品牌A,B站,物流很快，包装也很好，推荐购买,45,9,6,正面,2023-01-13
CM01282,竞品B,B站,用了过敏，不知道是不是正品,47,5,3,负面,2023-09-19
CM01283,品牌A,B站,物流很快，包装也很好，推荐购买,46,12,5,正面,2023-05-06
CM01284,品牌A,微博,什么时候出新品啊，等好久了,43,8,2,正面,2023-01-18
CM01285,品牌A,小红书,客服态度太差了，再也不会买了,47,10,6,负面,2023-08-29
CM01286,竞品C,抖音,客服态度太差了，再也不会买了,50,10,1,负面,2023-04-25
CM01287,竞品C,B站,这个品牌的产品真的很好用，支持了好多年了,52,8,9,正面,2023-02-08
CM01288,竞品B,B站,客服态度太差了，再也不会买了,45,10,4,负面,2023-04-05
CM01289,竞品B,小红书,性价比很高，比XX品牌好多了,45,7,4,正面,2023-06-08
CM01290,竞品C,微博,性价比很高，比XX品牌好多了,41,7,10,正面,2023-11-30
CM01291,品牌A,抖音,什么时候出新品啊，等好久了,49,9,6,正面,2023-05-28
CM01292,竞品B,小红书,感觉最近质量不如以前了，有点失望,58,10,3,负面,2023-07-25
CM01293,竞品B,抖音,这个品牌的产品真的很好用，支持了好多年了,47,9,10,正面,2023-02-18
CM01294,竞品C,小红书,价格有点贵，但是一分钱一分货吧,49,10,3,中性,2023-09-09
CM01295,竞品C,微博,这个品牌的产品真的很好用，支持了好多年了,48,6,4,正面,2023-05-18
CM01296,品牌A,B站,颜值很高，就是有点不耐用,43,5,7,中性,2023-11-19
CM01297,竞品C,微博,物流很快，包装也很好，推荐购买,48,5,4,正面,2023-12-03
CM01298,竞品B,抖音,客服态度太差了，再也不会买了,41,8,6,负面,2023-12-03
CM01299,竞品C,B站,性价比很高，比XX品牌好多了,39,6,6,正面,2023-12-18
CM01300,品牌A,B站,国货之光，必须支持,40,9,7,正面,2023-10-17
